name,level,job,inki,guild
묵팥,282,은월,569,궤도
얘티,282,아델,1302,Case
쌘코링,282,아크메이지(불독),862,오순
호이얌,282,나이트로드,511,꼬그모
1명2,282,신궁,275,덥석
뿌농꽁,282,메르세데스,5758,허니
침착,282,듀얼블레이더,3069,Temptation
채류아,282,아델,309,곰인형
협린,282,아델,13156,훈장교
슈비짱,282,다크나이트,2378,멍꿀단
Sxxx,282,플레임위자드,196,딸기우유
슈탱,282,아델,9788,허니
민지은,282,데몬어벤져,1956,호두
새미나,282,비숍,2969,여백
억대,282,보우마스터,8267,레전드
히키찌,282,듀얼블레이더,28860,잉잉
슬리퍼,282,팬텀,1281,Holic
도비는슬프다,282,패스파인더,283,고치
섭이,282,비숍,7240,고요미
의타,282,듀얼블레이더,3322,유소유
튜너착용,282,아델,356,티어
떼스폴트,282,히어로,151,딸기몽쉘
아잉괴도팬텀,282,팬텀,168,본죽
냉째,282,루미너스,2804,Temptation
맛스타,282,윈드브레이커,754,치즈
광부용hs,282,섀도어,385,허니
즐메,282,캐논마스터,23075,해피
포던,282,듀얼블레이더,456,여백
아란만보자,282,아란,389,앙마
초보쨩,282,데몬슬레이어,2113,Lavender
퍼킨,282,신궁,61,뒤에서
분지,282,아크메이지(썬콜),487,Woden
교류,282,아크메이지(썬콜),6223,세움
숨은씹강캐,282,팔라딘,2826,생글
전또미니,282,윈드브레이커,29,경국지색
펌덩,282,듀얼블레이더,2218,BOSS
옵따,282,나이트로드,437,닻별
당미꼬,282,엔젤릭버스터,802,별다방
눈에게,282,나이트로드,119,티어
무혐의,282,팔라딘,322,욘석들
뚫핌,282,소울마스터,4023,BlacknWhite
독고염화,282,아크메이지(썬콜),322,유대
쫄앗냥,282,아델,331,멍청해
숍쵸롱,282,비숍,4073,순하리
쎄이효,282,팔라딘,18715,Woden
드멩,282,아크,622,아랑
킴일렉,282,메카닉,66,xinkule
짠켜,282,비숍,2101,하늘꽃
도챙,282,엔젤릭버스터,63,욘석들
CRASIK,282,아델,381,아리수
BrutalThief,282,섀도어,810,브루탈
핑크잔향,282,루미너스,185,순애
진호빈,282,은월,1168,니니
전섭졸귀,282,나이트로드,879,별빛
SURP,282,패스파인더,273,사월
맑음,282,제논,99999,허니
라틴,282,아크,13408,--없음--
스우가고싶어,282,은월,260,티어
초콜릿트러플,282,아크메이지(불독),1231,--없음--
민성팬텀1,282,팬텀,12542,철부지
소주네,282,캐논마스터,3541,생글
엥서연,282,엔젤릭버스터,2922,감성
뿌꼬마,282,엔젤릭버스터,2890,메롱
명불허전돈슨,282,아크메이지(불독),1125,천신
BJ용짱,282,아크,1071,유하
수싸,282,바이퍼,685,달치즈
이콩닥,282,아크메이지(썬콜),6670,Temptation
오미자개꿀맛,282,팬텀,1112,안개비
슈룽,282,비숍,1225,루나
강연,282,소울마스터,520,허니
안개비님,282,아델,481,Lunaria
시게,282,캡틴,5577,아띠
대갈텀,282,팬텀,2578,욘석들
간자,282,아크,2548,사랑
비카님,282,아델,1672,훈장교
실습록,282,아크,2472,Alice
흐륜,282,배틀메이지,2319,욘석들
서곡,282,아란,5504,뭇별
도미닉,282,아크메이지(불독),2528,우월
I밀루유떼I,282,루미너스,22557,밀루유떼z
시수,282,패스파인더,951,여백
귀리의,282,아크메이지(불독),823,애플
점쑨,282,제논,2579,에잇
펏피,282,나이트로드,215,Cozy
대동맥,282,듀얼블레이더,2094,극딜
잊코,282,은월,814,무빙
규림림,282,아델,687,미소
한수녀,282,나이트로드,668,모델
니골,282,와일드헌터,2323,콩닭
병아리켄신,282,팬텀,14150,우리를
블루블러드,282,데몬슬레이어,680,디즈니
분홍색깔,282,히어로,10624,욘석들
송신기,282,아란,-141,DEEP
검망,282,아델,727,유리
과무,282,나이트로드,1843,소리
차밍,282,은월,436,불빛
케넨,282,나이트로드,3196,봄비
비싼토끼,282,캐논마스터,576,샤를로트
반반,282,제논,4176,Temptation
뭐혜인마,282,바이퍼,58,엘리스
유영준2,282,윈드브레이커,30359,허니
우주괴수,282,보우마스터,194,Temptation
혹솖,282,은월,2829,분필
백당,282,데몬슬레이어,403,--없음--
난또삐,282,데몬어벤져,9962,이별
에슨,282,나이트워커,1771,항해
원딴,282,히어로,13270,MoonStone
탱젤,282,팬텀,2857,메붕
힙끼,282,플레임위자드,4820,날려
정씁,282,와일드헌터,2005,콩닭
쯔단,282,캐논마스터,487,생글
참미인,282,아델,458,뉴프랜
윤민근,282,엔젤릭버스터,481,처럼
왕치매,282,팔라딘,239,똑똑
첫봄,282,팬텀,10890,훈장교
다엘로,282,패스파인더,274,그곳
먹섬,282,에반,237,디즈니
제보인,282,바이퍼,451,벙글
두두곤쥬님,282,패스파인더,4151,욘석들
휘종,282,섀도어,27588,즈즈
셔빈s,282,아크메이지(썬콜),230,딸기우유
개굴탱,282,제로,1954,허니
그때까지만,282,팬텀,576,스타
왕춘갓,282,패스파인더,542,금동
s드래곤s,282,스트라이커,1037,슬픔
병맥,282,듀얼블레이더,14442,레전드
LenNnox,282,비숍,4091,오순
심추갓,282,비숍,1872,정신력
홍왕s,282,제논,1061,산들
조심들해라,282,패스파인더,3341,수성
품절녀,282,아델,370,--없음--
학경,282,듀얼블레이더,21831,GOYARD
멸화,282,팬텀,7640,WeRule
비은향,282,제로,347,Class
최무등,282,패스파인더,270,순애
루찢,282,아델,669,호두
현인,282,제논,1979,훈장교
애교땡땡이,282,루미너스,1258,CoPys
뷰굳,282,키네시스,1067,그건니생각
큐리링,282,배틀메이지,2672,사해
그샷,282,듀얼블레이더,1114,꽃피는사랑
엔임나연버,282,엔젤릭버스터,144,이별
색시해,282,섀도어,428,욘석들
가챠대란,282,패스파인더,1847,요한
어비울,282,아크메이지(썬콜),1149,BOSS
팔천,282,다크나이트,2163,생글
따닥,282,캐논마스터,469,티어
망구정복,282,아크,183,MOON
은날석,282,루미너스,3558,첫달
어영심볼,282,비숍,12708,아르페지오
닐씬,282,비숍,544,능욕
qwsa9999,282,아크메이지(불독),247,스타
패대기,282,키네시스,15420,YAYA
하여,282,아크메이지(불독),2733,훈장교
증인해,282,섀도어,1382,왓숑
딜로,282,팔라딘,276,사랑
서브,282,나이트로드,43856,리드
챕야,282,엔젤릭버스터,505,별빛
추탱,282,아델,1979,자장가
강조,282,나이트로드,548,허니
Elimentall9,282,비숍,561,Poison
클깡,282,아델,2018,불빛
엘야크샤,282,에반,615,네온
AZ요,282,소울마스터,2158,똑똑
츄앙앙,282,아크메이지(썬콜),1006,프라하
시칸,282,나이트로드,13050,욘석들
리미욱,282,아델,309,BOSS
아크당,282,아크,1616,Save
뎄띠,282,아델,3452,티어
소호,281,데몬슬레이어,1761,Woden
겨누인,281,제로,4293,모아즈
인도,281,아란,632,Case
바이킹,281,나이트로드,6105,스타
MS다섯줄,281,다크나이트,228,천년낙화
머시따,281,캐논마스터,670,봄에
관실,281,아크메이지(불독),3017,SiniSter
SonSangJun,281,비숍,1497,레전드
늑몬,281,데몬어벤져,5330,즈즈
애기승희양,281,비숍,501,뉴프랜
천명도깨비,281,듀얼블레이더,336,꽃놀이
Mattilda,281,은월,7786,티어
박예참,281,소울마스터,1607,트리플크라운_E
생명,281,플레임위자드,15216,병아리
놀게,281,아크메이지(불독),1174,똑똑
처무,281,소울마스터,14178,달봄
옛글,281,나이트로드,2834,이브이
SG천,281,바이퍼,512,Lunes
벌주,281,아델,22091,이지스
닉언,281,은월,4567,Duck
중국산적,281,다크나이트,608,달치즈
초화,281,호영,2279,니니
는나,281,엔젤릭버스터,477,메붕
전행남,281,신궁,361,프라하
재치남,281,아델,782,딸기우유
쁨루트,281,메르세데스,120,Lunes
꾀부림,281,캐논마스터,3974,Temptation
내게오는길,281,팬텀,1477,취미는사랑
괴웅,281,듀얼블레이더,835,천사
폰춘덕,281,윈드브레이커,95,이슬
아크혜,281,아크,1579,화양
by쟈뎅,281,데몬어벤져,212,BOSS
쏘삼,281,은월,373,생글
뱌햐,281,엔젤릭버스터,6282,잔나
장영완,281,카인,90,사랑
별표시,281,메카닉,552,욘석들
삼두괴물,281,캐논마스터,585,해피
츄츄삐,281,호영,1647,마약학과
이빵,281,히어로,99999,디즈니
3코어윈브,281,윈드브레이커,1008,하트
껨잎,281,패스파인더,8340,썸띵
꾸지저,281,나이트로드,736,아르테미스
주난키킹,281,팔라딘,308,쿠키
침안,281,히어로,3220,싱긋
괄라뫼,281,팔라딘,2494,허니
넨코,281,라라,498,SiniSter
혼돈파괴망각,281,캐논마스터,2921,하트
떳달,281,아델,2665,Clue
제프다,281,아란,1399,츄리닝
차진욱,281,메카닉,359,--없음--
쪼리,281,제로,2406,우아
샌니,281,비숍,1103,여백
호준,281,아크메이지(불독),3114,우아
둥근붓,281,소울마스터,797,AWAKE
처노,281,메르세데스,2343,가오나시
푸푸린,281,보우마스터,6653,궤도
Seksman,281,배틀메이지,304,음식
다운운,281,듀얼블레이더,945,디즈니
헨쇼,281,아델,171,송이
카룻,281,데몬어벤져,657,생글
성형중독,281,패스파인더,959,이슬
믿신,281,호영,1182,손짓
뇽그르,281,바이퍼,3006,꽃을든남자
호이퍼,281,캡틴,92,레드라벨
덱왕,281,패스파인더,1333,갱이와
카와나,281,카데나,486,프라하
여제만의노예,281,소울마스터,1432,달치즈
SONATA,281,아크,3633,Fairplay
뿔위,281,플레임위자드,731,Aura
달동네오로라,281,캐논마스터,3756,불빛
단카게,281,나이트로드,327,BOSS
견씸,281,은월,4664,바다
으아,281,스트라이커,521,고개
샴헤,281,아란,1522,오순
활십,281,윈드브레이커,1879,로렌시아
시약,281,은월,41350,티어
남은메포,281,캐논마스터,724,이별
범삘,281,팔라딘,-715,생글
섀버zl존승원,281,듀얼블레이더,137,은하
의은,281,아란,2172,키즈
피피뽀,281,제논,1150,헤브
얄미운메린,281,다크나이트,2196,순애
마쁜,281,나이트로드,451,Class
조시커,281,카인,1618,뒤에서
드왕,281,은월,2592,훈장교
떵뚜,281,은월,2382,SiniSter
하새앙,281,엔젤릭버스터,756,라이
잡몹,281,캐논마스터,22770,불빛
Marksbowman,281,보우마스터,1448,늙은밤
캐슈꼴랑이,281,캐논마스터,1346,Kissing
헷짜짭,281,아크,470,Clue
권태현,281,팔라딘,1115,보스
시쟈,281,나이트로드,450,달치즈
은쁘야,281,나이트로드,277,허니
아유웃,281,듀얼블레이더,785,잉잉
부질없다,281,은월,4335,Rure
핵띳,281,비숍,1016,이해
야해,281,호영,792,트리플크라운_E
쮸웜,281,패스파인더,2853,빛별
껌탱,281,나이트로드,445,--없음--
강체선,281,데몬어벤져,294,바람
보면,281,아크,374,Temptation
이제싫다,281,루미너스,1063,플라워
아랑일레븐,281,캐논마스터,1017,HotShot
마그네트,281,제로,3430,자장가
정쎄주,281,신궁,41,딸기몽쉘
삼삼업,281,메카닉,1887,랄라룰루
별문학,281,비숍,1105,디즈니
줴리,281,윈드브레이커,1015,아랑
공주체육,281,듀얼블레이더,2323,미미
칼린카,281,엔젤릭버스터,7449,케찹
꺅토,281,블래스터,2021,허니
쮜뇽,281,아크메이지(불독),13159,단순
샤샴,281,나이트로드,99999,TIFFANY
녹츠,281,플레임위자드,885,Adelaide
얌떡,281,신궁,1843,귤나무
영루하,281,아크,3844,파티
현백꿈,281,팔라딘,290,xinkule
에펙삽고수,281,아델,2575,샛별
쩜댕,281,은월,668,허니
마비제도,281,제논,10492,크리스탈
윤야철,281,듀얼블레이더,446,새빛
로웰임,281,다크나이트,969,오순
아치포,281,신궁,1557,고수time
남의커,281,비숍,1924,뒤에서
짱늑,281,듀얼블레이더,1623,뚜시
밍두쪼아,281,아델,452,우월
듀카빈,281,듀얼블레이더,11139,해피
엘로디해어,281,엔젤릭버스터,619,디즈니
후두리이,281,아란,476,Aura
여제이,281,메르세데스,458,레전드
너찍,281,에반,1134,두담두담
쭈봉치,281,패스파인더,1326,--없음--
포격도비,281,캐논마스터,372,치즈
기사B,281,키네시스,2031,훈장교
쮸현,281,아크,1909,Melody
공대원,281,은월,52,Wish
뚜벅이상향점,281,엔젤릭버스터,2599,고수time
메가메가빔,281,제논,3108,바다
상일이,281,캐논마스터,746,Woden
유운,281,아크메이지(불독),3343,변태토끼
내대,281,비숍,199,욘석들
배와니,281,나이트로드,615,생글
송끄,281,플레임위자드,727,또밍
효감,281,캐논마스터,776,디즈니
코랜드파일날,281,카데나,84,멀티플레이
서사보,281,아크메이지(불독),1484,잎새
내역,281,아델,2409,불빛
매실,281,팬텀,1666,훈장교
미태커,281,아델,19780,욘석들
연이의제논,281,제논,11319,앙금앙금
악셀레이다,281,다크나이트,2682,레이
얼조씨,281,카이저,7088,얼조와이지스
슈먼,281,보우마스터,763,Alice
꿀술,281,엔젤릭버스터,7651,LuMinouS
소고찌,281,섀도어,228,YAYA
매력만빵,281,엔젤릭버스터,553,훈장교
강장복,281,제로,5438,솔플러
클로앙,281,듀얼블레이더,2387,Flame
박망붕,281,아란,1111,여백
시낭송,281,팬텀,10742,생글
빨래,281,호영,744,iush
서도아파트,281,팔라딘,1006,욘석들
을텡,281,아크메이지(불독),8797,수월
크흑,281,데몬어벤져,2450,투투
v코빙빙v,281,비숍,1163,아리수
배님,281,나이트워커,2703,똘똘
욤팅,281,아델,791,먼지
진짜먹을꺼야,281,윈드브레이커,482,적생
설렘냠,281,엔젤릭버스터,1030,똑똑
리븐장인나로,281,듀얼블레이더,3691,고요미
미휘,281,패스파인더,1588,다정
호빵영진,281,호영,86,레전드
토루,281,아델,4305,Clue
딩뱀,281,팔라딘,397,Alice
농약군,281,아델,415,Kissing
출연극,281,플레임위자드,1082,욘석들
박까쟝,281,아델,1183,Class
엘과,281,비숍,852,허니
흙성,281,에반,2382,소원
소우찡,281,보우마스터,828,초은
옥양,281,아델,8274,훈장교
마구니강,281,아크메이지(불독),5922,소풍
허니츤,281,카이저,3079,Case
강등,281,나이트로드,512,레전드
투운,281,아델,226,레드라벨
조재징,281,아델,332,그루터기_D
두부는두부다,281,에반,1969,라이
세라운드,281,제논,250,Aura
이달영,281,미하일,5319,블랙
씰뇽,281,비숍,1443,욘석들
돌아온다치,281,듀얼블레이더,2200,o일방통행o
헥헥,281,아란,1334,--없음--
태호뿌,281,듀얼블레이더,40,Baby
뎀꼬,281,듀얼블레이더,1585,사랑
양현씩,281,나이트로드,2248,극딜
명중치,281,팬텀,10172,티어
핫팩z,281,루미너스,525,목소리
낙지파라연,281,아델,233,훈장교
초선,281,아크메이지(불독),1424,여백
허니델프,281,캡틴,4525,Imperium
7냥이집사,281,제논,10003,네모
히어로커밍,281,히어로,1648,Aura
쌈격,281,나이트로드,940,단잠
이야호아크,281,아크,1256,블랙헤븐
벌드,281,키네시스,10618,해피
울엇,281,비숍,843,사랑
춘택님,281,바이퍼,248,신세계
소원화,281,아델,906,Aura
웅륌,281,듀얼블레이더,2516,Once
섹슷,281,아크,52,젤리
등하나,281,은월,1444,MAXIMUM
퍼핏,281,나이트워커,783,해피
